CAR_NAME,BRAND,SUB_BRAND,MODAL_YEAR,AMOUNT,FUEL_TYPE,DIS_COVERED,EMI_AMOUNT,Operate
Renault TRIBER,Renault,TRIBER,2020,626000,PETROL,38414,"12,238",MANUAL
Honda Amaze,Honda,Amaze,2018,573000,PETROL,30552,"11,193",MANUAL
Mahindra XUV500,Mahindra,XUV500,2017,996000,DIESEL,51377,"18,949",MANUAL
Hyundai GRAND,Hyundai,GRAND,2021,708000,PETROL,36554,"13,842",AUTOMATIC
Maruti Swift,Maruti,Swift,2013,444000,DIESEL,96413,"14,747",MANUAL
Maruti Swift,Maruti,Swift,2012,463000,PETROL,64557,"15,378",MANUAL
Maruti IGNIS,Maruti,IGNIS,2017,612000,PETROL,22456,"11,965",AUTOMATIC
Renault Duster,Renault,Duster,2018,776000,PETROL,36228,"15,180",AUTOMATIC
Maruti Alto,Maruti,Alto,2017,334000,PETROL,72033,"6,530",MANUAL
Hyundai Grand,Hyundai,Grand,2017,550000,PETROL,31072,"10,751",MANUAL
Maruti Dzire,Maruti,Dzire,2018,609000,PETROL,68309,"11,906",MANUAL
Volkswagen Vento,Volkswagen,Vento,2014,486000,PETROL,52389,"10,811",MANUAL
Maruti Celerio,Maruti,Celerio,2015,413999,PETROL,31672,"8,086",MANUAL
Tata ALTROZ,Tata,ALTROZ,2023,899000,PETROL,5198,"17,112",AUTOMATIC
Hyundai VENUE,Hyundai,VENUE,2020,732000,PETROL,17800,"14,311",MANUAL
Honda City,Honda,City,2013,473000,PETROL,41334,"12,456",MANUAL
Maruti XL6,Maruti,XL6,2022,1069000,PETROL,59304,"20,347",MANUAL
KIA CARENS,KIA,CARENS,2023,1363000,PETROL,10235,"25,943",MANUAL
Tata ALTROZ,Tata,ALTROZ,2020,735000,PETROL,11336,"14,370",MANUAL
Maruti IGNIS,Maruti,IGNIS,2021,524000,PETROL,39945,"10,244",MANUAL
Hyundai Verna,Hyundai,Verna,2020,1288000,DIESEL,60943,"24,516",MANUAL
Maruti Swift,Maruti,Swift,2015,580000,PETROL,30728,"11,339",MANUAL
Maruti Baleno,Maruti,Baleno,2021,715000,PETROL,17079,"13,978",MANUAL
Maruti Dzire,Maruti,Dzire,2018,627000,PETROL,38827,"12,258",MANUAL
Hyundai Eon,Hyundai,Eon,2015,256000,PETROL,71802,"5,005",MANUAL
Hyundai i20,Hyundai,i20,2013,359000,PETROL,80835,"9,454",MANUAL
Volkswagen Polo,Volkswagen,Polo,2014,556000,PETROL,37711,"12,365",MANUAL
Hyundai NEW,Hyundai,NEW,2022,844999,PETROL,38428,"16,084",MANUAL
Hyundai VENUE,Hyundai,VENUE,2022,855000,PETROL,33680,"16,274",MANUAL
MG HECTOR,MG,HECTOR,2020,1490000,PETROL,30801,"28,355",AUTOMATIC
Hyundai i20,Hyundai,i20,2016,604000,PETROL,55034,"11,808",MANUAL
Hyundai Creta,Hyundai,Creta,2019,1240000,PETROL,6606,"23,602",AUTOMATIC
Honda City,Honda,City,2017,784000,PETROL,93542,"15,327",AUTOMATIC
Volkswagen Polo,Volkswagen,Polo,2014,498000,PETROL,46556,"11,078",MANUAL
Toyota Glanza,Toyota,Glanza,2021,802000,PETROL,28290,"15,260",AUTOMATIC
Tata Tiago,Tata,Tiago,2017,450000,PETROL,60536,"8,798",MANUAL
Ford FREESTYLE,Ford,FREESTYLE,2020,596000,PETROL,77236,"11,652",MANUAL
Honda City,Honda,City,2015,552000,PETROL,89537,"10,792",MANUAL
Maruti Ciaz,Maruti,Ciaz,2016,678000,PETROL,68828,"13,263",MANUAL
Honda Amaze,Honda,Amaze,2013,380000,DIESEL,63567,"12,621",MANUAL
Renault Duster,Renault,Duster,2017,723000,PETROL,21357,"14,135",AUTOMATIC
Hyundai Elite,Hyundai,Elite,2019,727000,PETROL,21733,"14,213",MANUAL
Maruti Celerio,Maruti,Celerio,2015,415000,PETROL,13855,"8,113",MANUAL
Maruti Alto,Maruti,Alto,2021,399000,PETROL,22625,"7,801",MANUAL
Nissan Micra,Nissan,Micra,2017,437000,PETROL,50268,"8,543",MANUAL
Honda Brio,Honda,Brio,2013,310000,PETROL,55685,"8,163",MANUAL
Honda Jazz,Honda,Jazz,2021,906000,PETROL,5141,"17,245",AUTOMATIC
Maruti Baleno,Maruti,Baleno,2019,686000,PETROL,65568,"13,411",AUTOMATIC
Maruti Ertiga,Maruti,Ertiga,2015,775000,DIESEL,57858,"17,239",MANUAL
Hyundai Elite,Hyundai,Elite,2019,643000,PETROL,62456,"12,571",MANUAL
Hyundai Elite,Hyundai,Elite,2017,730000,PETROL,35728,"14,272",MANUAL
Tata PUNCH,Tata,PUNCH,2022,813000,PETROL,20447,"15,475",MANUAL
KIA SELTOS,KIA,SELTOS,2019,1407000,DIESEL,24108,"26,781",MANUAL
Maruti Ciaz,Maruti,Ciaz,2018,746000,PETROL,30948,"14,580",MANUAL
Datsun Redi,Datsun,Redi,2018,323000,PETROL,35098,"6,309",MANUAL
Tata Zest,Tata,Zest,2015,480000,DIESEL,79684,"10,677",AUTOMATIC
Honda WR-V,Honda,WR-V,2017,799000,DIESEL,32067,"15,621",MANUAL
Maruti Swift,Maruti,Swift,2015,499000,PETROL,69474,"9,747",MANUAL
Honda Amaze,Honda,Amaze,2017,554000,PETROL,47200,"10,831",MANUAL
Hyundai Grand,Hyundai,Grand,2018,483000,PETROL,26623,"9,439",MANUAL
Hyundai NEW,Hyundai,NEW,2019,480999,PETROL,43255,"9,394",MANUAL
Volkswagen Ameo,Volkswagen,Ameo,2018,675000,DIESEL,63531,"13,196",AUTOMATIC
Maruti S,Maruti,S,2022,486000,PETROL,6410,"9,501",MANUAL
Maruti S,Maruti,S,2020,501999,PETROL,18106,"9,814",AUTOMATIC
Hyundai Elite,Hyundai,Elite,2017,677000,DIESEL,70639,"13,240",MANUAL
Tata Harrier,Tata,Harrier,2022,1739999,DIESEL,49190,"33,119",MANUAL
Mahindra XUV500,Mahindra,XUV500,2018,1401000,DIESEL,63416,"26,667",MANUAL
Honda BR-V,Honda,BR-V,2018,885000,PETROL,81415,"16,845",AUTOMATIC
Tata NEXON,Tata,NEXON,2022,1043000,DIESEL,23036,"19,853",MANUAL
Maruti Ciaz,Maruti,Ciaz,2019,889000,PETROL,29041,"16,921",AUTOMATIC
Maruti Baleno,Maruti,Baleno,2017,670000,PETROL,36274,"13,099",MANUAL
Renault Kwid,Renault,Kwid,2020,426999,PETROL,87693,"8,348",MANUAL
Honda City,Honda,City,2018,861000,PETROL,30539,"16,388",MANUAL
Ford Ecosport,Ford,Ecosport,2016,660000,PETROL,18009,"12,912",MANUAL
Maruti Celerio,Maruti,Celerio,2014,358000,PETROL,27566,"7,953",MANUAL
Honda Jazz,Honda,Jazz,2016,512000,PETROL,62722,"10,010",MANUAL
Maruti Swift,Maruti,Swift,2016,638000,PETROL,57333,"12,479",MANUAL
KIA SELTOS,KIA,SELTOS,2019,1200000,DIESEL,40508,"22,841",MANUAL
Honda Jazz,Honda,Jazz,2017,657000,PETROL,37652,"12,844",AUTOMATIC
Hyundai Creta,Hyundai,Creta,2021,1404000,PETROL,24743,"26,724",MANUAL
Tata ALTROZ,Tata,ALTROZ,2022,899000,PETROL,16221,"17,105",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2017,405000,PETROL,81602,"7,918",MANUAL
Tata TIGOR,Tata,TIGOR,2018,567000,PETROL,57190,"11,080",AUTOMATIC
Maruti Ertiga,Maruti,Ertiga,2013,583000,PETROL,92751,"15,349",MANUAL
Hyundai Creta,Hyundai,Creta,2019,1202000,DIESEL,75395,"22,871",MANUAL
Hyundai VENUE,Hyundai,VENUE,2021,928999,PETROL,52456,"17,688",MANUAL
Hyundai i10,Hyundai,i10,2012,335000,PETROL,57348,"11,124",MANUAL
Hyundai Creta,Hyundai,Creta,2017,1025000,PETROL,40475,"19,510",AUTOMATIC
Maruti Ciaz,Maruti,Ciaz,2017,706000,PETROL,43129,"13,802",MANUAL
Hyundai i20,Hyundai,i20,2013,397000,PETROL,56822,"10,455",AUTOMATIC
Maruti Swift,Maruti,Swift,2014,476999,PETROL,75750,"10,611",MANUAL
Maruti Ertiga,Maruti,Ertiga,2018,1005000,DIESEL,69668,"19,129",MANUAL
KIA SELTOS,KIA,SELTOS,2022,1787000,DIESEL,43707,"34,014",AUTOMATIC
Honda Amaze,Honda,Amaze,2019,727000,PETROL,25138,"14,216",MANUAL
Maruti IGNIS,Maruti,IGNIS,2017,486000,PETROL,79722,"9,501",MANUAL
Renault Duster,Renault,Duster,2017,853999,DIESEL,60774,"16,255",AUTOMATIC
Renault Kwid,Renault,Kwid,2017,378000,PETROL,46878,"7,390",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2014,409000,PETROL,10558,"9,098",AUTOMATIC
Renault Kwid,Renault,Kwid,2016,338000,PETROL,30778,"6,609",MANUAL
Renault Duster,Renault,Duster,2016,852000,DIESEL,41022,"16,217",AUTOMATIC
Honda Brio,Honda,Brio,2015,370000,PETROL,30891,"7,234",MANUAL
Mahindra XUV500,Mahindra,XUV500,2019,1408000,DIESEL,39448,"26,800",AUTOMATIC
Maruti Swift,Maruti,Swift,2016,615000,PETROL,43756,"12,023",MANUAL
Tata Tiago,Tata,Tiago,2019,604000,PETROL,16943,"11,799",AUTOMATIC
Maruti Ciaz,Maruti,Ciaz,2018,701000,DIESEL,80245,"13,705",MANUAL
Maruti Ciaz,Maruti,Ciaz,2018,750000,PETROL,42483,"14,663",MANUAL
Honda City,Honda,City,2017,875000,PETROL,39311,"16,659",AUTOMATIC
Maruti Ciaz,Maruti,Ciaz,2016,620000,PETROL,68199,"12,125",MANUAL
Hyundai Elite,Hyundai,Elite,2016,665000,PETROL,58091,"13,005",MANUAL
Maruti Alto,Maruti,Alto,2022,511000,PETROL,13847,"9,990",MANUAL
KIA SELTOS,KIA,SELTOS,2019,1463000,PETROL,29077,"27,852",AUTOMATIC
Hyundai i10,Hyundai,i10,2013,370000,PETROL,46079,"9,744",MANUAL
Maruti Baleno,Maruti,Baleno,2018,653000,PETROL,36967,"12,762",AUTOMATIC
Hyundai Elite,Hyundai,Elite,2016,664000,PETROL,71258,"12,972",MANUAL
Hyundai GRAND,Hyundai,GRAND,2020,693000,PETROL,27754,"13,548",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2018,517000,PETROL,10280,"10,100",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2018,497000,PETROL,40683,"9,716",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2016,430999,PETROL,63730,"8,420",AUTOMATIC
Maruti Ciaz,Maruti,Ciaz,2016,672000,PETROL,34800,"13,138",MANUAL
Maruti XL6,Maruti,XL6,2022,1269000,PETROL,18659,"24,154",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2015,443000,PETROL,60260,"8,661",MANUAL
KIA SELTOS,KIA,SELTOS,2021,1431000,PETROL,37815,"27,238",MANUAL
Maruti Baleno,Maruti,Baleno,2017,712000,PETROL,22358,"13,920",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2016,547000,PETROL,23731,"10,687",MANUAL
Maruti Celerio,Maruti,Celerio,2017,443000,PETROL,42178,"8,661",MANUAL
Hyundai Elite,Hyundai,Elite,2017,707000,PETROL,26827,"13,822",MANUAL
Maruti Celerio,Maruti,Celerio,2020,581000,PETROL,15808,"11,359",AUTOMATIC
Maruti Baleno,Maruti,Baleno,2017,661000,PETROL,57040,"12,914",MANUAL
Maruti Baleno,Maruti,Baleno,2018,722000,PETROL,19161,"14,115",AUTOMATIC
Maruti Alto,Maruti,Alto,2013,303000,PETROL,24202,"7,979",MANUAL
KIA SONET,KIA,SONET,2023,1518000,PETROL,5703,"28,894",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2017,539000,PETROL,40780,"10,538",MANUAL
Hyundai VENUE,Hyundai,VENUE,2019,1002000,PETROL,21881,"19,066",AUTOMATIC
Tata ALTROZ,Tata,ALTROZ,2021,613000,PETROL,20428,"11,984",MANUAL
Hyundai Santro,Hyundai,Santro,2010,175000,PETROL,79984,"15,549",MANUAL
Maruti Baleno,Maruti,Baleno,2017,585000,PETROL,39585,"11,437",AUTOMATIC
Hyundai NEW,Hyundai,NEW,2021,880000,PETROL,19180,"16,750",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2016,422000,PETROL,39987,"8,250",AUTOMATIC
Hyundai Verna,Hyundai,Verna,2013,419000,DIESEL,103388,"13,928",MANUAL
Maruti Celerio,Maruti,Celerio,2016,497000,PETROL,51729,"9,716",AUTOMATIC
Maruti Alto,Maruti,Alto,2012,256999,PETROL,35084,"8,536",MANUAL
Mahindra Bolero,Mahindra,Bolero,2016,554000,DIESEL,139583,"12,312",MANUAL
Hyundai Grand,Hyundai,Grand,2018,457000,PETROL,60626,"8,934",MANUAL
Maruti Vitara,Maruti,Vitara,2016,557000,DIESEL,80227,"10,895",MANUAL
Tata TIGOR,Tata,TIGOR,2017,458000,PETROL,94257,"8,954",AUTOMATIC
Tata Tiago,Tata,Tiago,2017,461000,PETROL,57920,"9,013",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2015,465000,PETROL,36318,"9,091",MANUAL
Hyundai Grand,Hyundai,Grand,2017,462000,PETROL,72138,"9,032",MANUAL
Hyundai VENUE,Hyundai,VENUE,2019,844000,PETROL,72756,"16,065",AUTOMATIC
Hyundai i20,Hyundai,i20,2013,360000,DIESEL,94514,"11,951",MANUAL
Volkswagen Polo,Volkswagen,Polo,2019,594000,PETROL,18966,"11,613",MANUAL
Hyundai Creta,Hyundai,Creta,2017,953999,PETROL,98493,"18,159",AUTOMATIC
Toyota Camry,Toyota,Camry,2014,916000,PETROL,113336,"19,916",AUTOMATIC
Renault Kwid,Renault,Kwid,2016,308000,PETROL,59775,"6,014",MANUAL
Maruti Baleno,Maruti,Baleno,2022,741000,PETROL,9254,"14,487",MANUAL
Mahindra Bolero,Mahindra,Bolero,2023,1094000,DIESEL,12465,"20,823",MANUAL
Hyundai GRAND,Hyundai,GRAND,2020,584000,PETROL,17849,"11,417",MANUAL
Hyundai Verna,Hyundai,Verna,2013,505999,DIESEL,46332,"16,806",MANUAL
Maruti Ciaz,Maruti,Ciaz,2015,480000,PETROL,83683,"9,384",AUTOMATIC
Volkswagen VIRTUS,Volkswagen,VIRTUS,2023,1578000,PETROL,13967,"30,031",AUTOMATIC
Hyundai i20,Hyundai,i20,2014,422000,PETROL,65562,"9,378",MANUAL
Volkswagen Ameo,Volkswagen,Ameo,2016,475000,PETROL,97869,"9,286",MANUAL
Maruti A,Maruti,A,2010,198000,PETROL,103867,"17,592",MANUAL
Renault Kwid,Renault,Kwid,2016,297000,PETROL,37599,"5,806",MANUAL
